title,authors,fieldOfStudy,year,doiUrl
An exploratory survey of the graphic variants used in Japan: Part one,Liang  Xiaohong,History,2019,https://doi.org/10.1177/2513850219856708
'Her Heart and Soul were with The Labour Movement': Using a Local Study to Highlight the Work Of Women Organizers Employed by the Workers' Union in Britain From the First World War to 1931,Cathy J. Hunt,Sociology,2005,https://doi.org/10.1179/096156505X53609
"Blood pressure, coronary artery disease, and glycaemic control in type 2 diabetes mellitus: relation to apolipoprotein-CIII gene polymorphism","S.  Tas, N. A. Abdella",Medicine,1994,https://doi.org/10.1016/S0140-6736%2894%2992402-3
Intensified adjunctive corticosteroid therapy for CNS tuberculomas,"Isabelle  Suárez, Henning  Gruell, Jan  Heyckendorf, Sarah  Fünger, Thorsten  Lichtenstein, Norma  Jung, Clara  Lehmann, Markus  Unnewehr, Gerd  Fätkenheuer, Christoph  Lange, Jan  Rybniker",Medicine,2020,https://doi.org/10.1007/s15010-019-01378-3
Date Palm Tree (Phoenix dactylifera L.): Natural Products and Therapeutic Options,"Reem A. Al-Alawi, Jawhara H. Al-Mashiqri, Jawaher S. M. Al-Nadabi, Badria I. Al-Shihi, Younis  Baqi",Biology,2017,https://doi.org/10.3389/fpls.2017.00845
Intraoperative Assessment of Intestinal Viability by Laser Doppler Flowmetry for Surgery of Ruptured Abdominal Aortic Aneurysms,"Claudio A. Redaelli, Martin K. Schilling, Thierry P. Carrel",Medicine,1998,https://doi.org/10.1007/s002689900383
Predictive effects of the POSSUM assessment system on the incidence rate of the postoperative pulmonary infection,"Yanli  Zhu, Lin  Zhang",Medicine,2016,https://doi.org/10.3760/CMA.J.ISSN.1674-2907.2016.14.006
Fascism and Authoritarianism in The Plumed Serpent,Barabara  Mensch,Philosophy,1991,https://doi.org/10.1007/978-1-349-12455-8_7
In-Situ Strain Measurements of EB-PVD Thermal Barrier Coatings using Synchrotron X-Ray Diffraction under Thermo-Mechanical Loading,"Rene  Diaz, Mitra  Mossaddad, Anil  Bozan, Seetha  Raghavan, Jonathan  Almer, John  Okasinski, Hugo  Palaez-Perez, P. K. Imbrie",Materials Science,2011,https://doi.org/10.2514/6.2011-500
Measuring Quality of Life from the Perspective of Neighborhood Accessibility,"Mojgan  Zarekani, Monjur  Panna, Ahmed  Bouferguene, Mohamed  Al-Hussein",Geography,2015,https://doi.org/10.1061/9780784479377.049
Application of Fractal Theory for On-Line and Off-Line Farsi Digit Recognition,"Saeed  Mozaffari, Karim  Faez, Volker  Märgner",Mathematics,2007,https://doi.org/10.1007/978-3-540-73499-4_65
The effects of agriculture on the volcanic aquifers of the canary islands,"E.  Custodio, J. A.  Guerra, J.  Jiménez, J. A.  Medina, C.  Soler",Geology,1983,https://doi.org/10.1007/BF02414868
Single-layer periosteum progenitor cell sheet significantly promotes tendon–bone healing in comparison with acellular collagen sheet in anterior cruciate ligament reconstruction,"Lei Yen Chen, Shu Wen Whu, Chih Hwa Chen, Hsia Wei Liu, Hsien Tao Liu, Chih Hsiang Chang, Ching Lin Tsai, Shih Hui Chen, Ging Ho Hsiue",Medicine,2012,https://doi.org/10.1016/J.FJMD.2012.01.001
Comments on health-related quality of life measures for children and adolescents with epilepsy.,D  Stevanovic,Medicine,2008,https://doi.org/10.1111/j.1524-4733.2008.00325.x
Inflammation and neurogenic hypertension: a new role for the circumventricular organs?,Eric  Lazartigues,Medicine,2010,https://doi.org/10.1161/CIRCRESAHA.110.224873
Auxiliary partial orthotopic living donor liver transplantation as an aid for small-for-size grafts in larger recipients.,"Y  Inomata, T  Kiuchi, I  Kim, S  Uemoto, H  Egawa, K  Asonuma, S  Fujita, M  Hayashi, K  Tanaka",Medicine,1999,https://doi.org/10.1097/00007890-199905270-00004
Afrikaans youth series books: exhibition of societal change,Maritha  Snyman,Sociology,2004,https://doi.org/10.4314/INNOVATION.V28I1.26462
"Half-sandwich o-N,N-dimethylaminobenzyl complexes over the full size range of group 3 and lanthanide metals. synthesis, structural characterization, and catalysis of phosphine P--H bond addition to carbodiimides.","Wen-Xiong  Zhang, Masayoshi  Nishiura, Tomohiro  Mashiko, Zhaomin  Hou",Chemistry,2008,https://doi.org/10.1002/CHEM.200701300
Evaluating Reliability-Testing Usage Models,"Bo  Wan, Gregor von Bochmann, Guy-Vincent  Jourdan",Computer Science,2012,https://doi.org/10.1109/COMPSAC.2012.23
QUANTUM MARKOV FIELDS,"Luigi  Accardi, Francesco  Fidaleo",Mathematics,2003,https://doi.org/10.1142/S0219025703001079
Use of the Eigenstrain Concept for Residual Stress Analysis,Vladimir  Luzin,Materials Science,2013,https://doi.org/10.4028/www.scientific.net%2FMSF.768-769.193
Studies on Effect of Planting Dates and Varieties on Growth and Quality in Gladiolus (Gladiolus hybridus Hort.) Under Sub-Humid Zone of Rajasthans,"Kamal Kishor Nagar, Ashuthos  Mishra, Sushma  Patil",Biology,2018,https://doi.org/10.13189/ujar.2018.060503
Affordances and classification: On the significance of a sidebar in James Gibson's last book,"Rob  Withagen, Anthony  Chemero",Psychology,2012,https://doi.org/10.1080/09515089.2011.579424
Reply to ‘PEM or MBI?’,Yayoi  Yamamoto,Medicine,2016,https://doi.org/10.1007/s12149-016-1082-y
The Incidence of Alpha-Thalassemia in Iraqi Turks,Duran  Canatan,Medicine,2012,https://doi.org/10.5505/tjh.2012.48751
Neural and cognitive correlates of the common and specific variance across externalizing problems in young adolescence.,"Natalie  Castellanos-Ryan, Maren  Struve, Robert  Whelan, Tobias  Banaschewski, Gareth J Barker, Arun L W Bokde, Uli  Bromberg, Christian  Büchel, Herta  Flor, Mira  Fauth-Bühler, Vincent  Frouin, Juergen  Gallinat, Penny  Gowland, Andreas  Heinz, Claire  Lawrence, Jean-Luc  Martinot, Frauke  Nees, Tomas  Paus, Zdenka  Pausova, Marcella  Rietschel, Trevor W Robbins, Michael N Smolka, Gunter  Schumann, Hugh  Garavan, Patricia J Conrod",Psychology,2014,https://doi.org/10.1176/appi.ajp.2014.13111499
The Connections Goal Area in Spanish Community Service-Learning: Possibilities and Limitations.,"Annie Ruth Abbott, Darcy  Lear",Sociology,2010,https://doi.org/10.1111/J.1944-9720.2010.01076.X
Disorders of atrioventricular conduction in acute myocardial infarction. Effect on prognosis and management.,J C Griffin,Medicine,1984,https://doi.org/10.1016/S0733-8651%2818%2930761-6
The Surgical Infection Society: A 10-Year Update,J. Wesley Alexander,Medicine,1997,https://doi.org/10.1001/ARCHSURG.1997.01430360008001
Effects of fiber-end cracks on the stiffness of aligned short-fiber composites,"Y.  Takao, Minoru  Taya, Tsu-Wei  Chou",Materials Science,1982,https://doi.org/10.1016/0020-7683%2882%2990051-8
The Effects of Social Exchange Perspective on Employee Creativity： A Multilevel Investigation,"Li-Yueh, Lee, Sou, Veasna",Psychology,2013,https://doi.org/10.17265/2159-5542%2F2013.11.004
Large-Sample Bayesian Posterior Distributions for Probabilistic Sensitivity Analysis,"Gordon B Hazen, Min  Huang",Computer Science,2006,https://doi.org/10.1177/0272989X06290487
Divided loyalties: Zulu vis-à-vis English at the University of KwaZulu-Natal,"Stephanie  Rudwick, Andrea  Parmegiani",Sociology,2013,https://doi.org/10.1080/10228195.2013.840012
Potential use of the complex of doxorubicin with folate-conjugated methyl-β-cyclodextrin for tumor-selective cancer chemotherapy,"Keiichi  Motoyama, Risako  Onodera, Ayaka  Okamatsu, Taishi  Higashi, Ryusho  Kariya, Seiji  Okada, Hidetoshi  Arima",Chemistry,2014,https://doi.org/10.3109/1061186X.2013.856012
Nonclassic 21-hydroxylase deficiency.,Didier  Dewailly,Medicine,2002,https://doi.org/10.1055/S-2002-35388
Private Oppression: How Laws that Protect Privacy Can Lead to Oppression,Teri Dobbins Baxter,Political Science,2010,https://doi.org/10.17161/1808.20118
Probability and Uncertainty in Seismic Hazard Analysis,"Norman A. Abrahamson, Julian J. Bommer",Engineering,2005,https://doi.org/10.1193/1.1899158
Editor's choice: five-year outcomes in men screened for abdominal aortic aneurysm at 65 years of age: a population-based cohort study.,"S  Svensjö, M  Björck, A  Wanhainen",Medicine,2014,https://doi.org/10.1016/j.ejvs.2013.10.007
Peloruside A: a potent cytotoxic macrolide isolated from the new zealand marine sponge Mycale sp.,"L M West, P T Northcote, C N Battershill",Chemistry,2000,https://doi.org/10.1021/JO991296Y
Estimating temporal trends in preferences measured by graded paired comparisons,"Joel  Huber, Morris B. Holbrook",Economics,1982,https://doi.org/10.1016/0148-2963%2882%2990005-4
Experimental effect of retinoic acids on apoptosis during the development of diabetic retinopathy,"Nami  Nishikiori, Makoto  Osanai, Hideki  Chiba, Takashi  Kojima, Shuichiro  Inatomi, Hiroshi  Ohguro, Norimasa  Sawada",Medicine,2008,https://doi.org/10.2147/OPTH.S2420
Harnessing Human Potential in Haiti,"Ángel  Cabrera, Frank  Neville, Samantha  Novick",Economics,2010,https://doi.org/10.1162/INOV_a_00050
Genetic Algorithm for Various Face Emotions Classification,"M.  Karthigayan, M.  Rizon, Sazali  Yaacob, R.  Nagarajan",Computer Science,2007,https://doi.org/10.1007/978-3-540-68017-8_18
Inclusive Practices in Mainstream Schools: An Australian Perspective,"Poulomee  Datta, Christine  Grima-Farrell, Mitchell Graeme Coates",Political Science,2017,https://doi.org/10.1007/978-3-319-55224-8_14
Largest of maximum (LOM) method for switching fuzzy control system,"Logah  Perumal, Farrukh  Nagi",Computer Science,2008,https://doi.org/10.1080/1448837X.2008.11464183
Effect of stress anisotropy on the pore water pressure generation of loose sand,"Fardin  Jafarzadeh, Mostafa  Zamanian",Geology,2016,https://doi.org/10.3208/JGSSP.IRN-13
Multiple Targets Detection and Acceleration Estimation for Intelligent Transport System,"Zhigang  Li, Jiang Tao Lv, Qiao Yun Wang",Engineering,2014,https://doi.org/10.4028/www.scientific.net%2FAMR.915-916.453
TRPA1 insensitivity of human sural nerve axons after exposure to lidocaine,"Reginald J. Docherty, Lionel  Ginsberg, Saqiba  Jadoon, Richard W. Orrell, Anupam  Bhattacharjee",Medicine,2013,https://doi.org/10.1016/j.pain.2013.04.030
Solutions of Bohemian Unemployment in the Late 19th and Early 20th Century,Jana  Englová,Economics,2007,https://doi.org/10.18267/j.aop.183
Relationships of cotton fiber properties to ring-spun yarn quality on selected High Plains cottons,"William B. Faulkner, Eric  Hequet, J. D. Wanjura, R. K. Boman",Materials Science,2012,https://doi.org/10.1177/0040517511426613
Cosmological entropy bounds,Ram  Brustein,Physics,2007,https://doi.org/10.1007/978-3-540-74233-3_21
Paint and Finish Removers,"David L. White, Jay A. Bardole",Materials Science,2005,https://doi.org/10.1002/0471238961.1601091423080920.A01.PUB2
Variability of the crossed extensor reflex (Philippson reflex),V. D. Glebovsky,Biology,2004,https://doi.org/10.1007/BF01925738
Electron spin resonance and electron spin echo studies of photoproduced tetramethylbenzidine cation radical in frozen aqueous micellar solutions: cation surroundings and retention of micellar structure in frozen solutions,"Ponnada A. Narayana, A. S. W. Li, Larry  Kevan",Chemistry,1981,https://doi.org/10.1021/JA00402A073
Pinning effect of coherent particles on moving planar grain boundary: Theoretical models and molecular dynamics simulations,"H. R. Peng, Wei  Liu, H. Y. Hou, F.  Liu",Materials Science,2019,https://doi.org/10.1016/J.MTLA.2019.100225
Extracorporeal high intensity focused ultrasound for renal tumours: a 3‐year follow‐up,"Robert W Ritchie, Tom  Leslie, Rachel  Phillips, Feng  Wu, Rowland  Illing, Gail  ter Haar, Andrew  Protheroe, David  Cranston",Medicine,2010,https://doi.org/10.1111/j.1464-410X.2010.09289.x
Human non-malignant and malignant brain tumor derived cell cultures: proliferation and sensitivity to natural human fibroblast (beta) interferon,"Albert W. Cook, Florence  Nidzgorski, Philip R. Roane, George  Mann, Paul  Came, William A. Carter",Biology,2004,https://doi.org/10.1007/BF00195604
Epoxidation of stilbene using supported gold nanoparticles: cumyl peroxyl radical activation at the gold nanoparticle surface.,"Charles-Oneil L Crites, Geniece L Hallet-Tapley, María  González-Béjar, J C Netto-Ferreira, Juan C Scaiano",Chemistry,2014,https://doi.org/10.1039/c3cc48626e
Candidate Oil Spill Detection in SLAR Data - A Recurrent Neural Network-based Approach,"Sergiu  Ovidiu-Oprea, Pablo  Gil, Damian  Mira, Beatriz  Alacid",Computer Science,2017,https://doi.org/10.5220/0006187103720377
Joint Effect of Depression and Chronic Conditions on Disability: Results From a Population-Based Study,"Norbert  Schmitz, JianLi  Wang, Ashok  Malla, Alain  Lesage",Medicine,2007,https://doi.org/10.1097/PSY.0b013e31804259e0
The Decision to Remain Single: Implications for Women Across Cultures,Phyllis A. Gordon,Psychology,2003,https://doi.org/10.17744/MEHC.25.1.U9CF35E2P25LJ4PK
On the Relationship between Abundance and Distribution of Species,James H. Brown,Biology,1984,https://doi.org/10.1086/284267
Matrix metalloproteinase (MMP) expression in experimental choroidal neovascularization.,"A  Kvanta, W Y Shen, S  Sarman, S  Seregard, B  Steen, E  Rakoczy",Medicine,2000,https://doi.org/10.1076/0271-3683%28200009%2921%3A3%3B1-R%3BFT684
Functional Analysis of Maize RAD51 in Meiosis and Double-Strand Break Repair,"Jin  Li, Lisa C Harper, Inna  Golubovskaya, C Rachel Wang, David  Weber, Robert B Meeley, John  McElver, Ben  Bowen, W Zacheus Cande, Patrick S Schnable",Biology,2007,https://doi.org/10.1534/genetics.106.062604
A cAMP-binding protein from Dictyostelium discoideum regulates mammalian protein kinase.,"B H Leichtling, E  Spitz, H V Rickenberg",Biology,1981,https://doi.org/10.1016/S0006-291X%2881%2980207-0
Consolidation of High-Energy Ball Milled Nanocrystalline Al Powders,"Rajeev Kumar Gupta, B. S. Murty, Nick  Birbilis",Materials Science,2017,https://doi.org/10.1007/978-3-319-57031-0_3
"P753 Analysis of endometrial carcinoma, diagnosed by an explorative curettage for a period of fourteen years",A.  Dimitrovska,Medicine,2009,https://doi.org/10.1016/S0020-7292%2809%2962244-X
Household Archeology: Testing Models of Zonal Complementarity in the South Central Andes,Charles  Stanish,History,1989,https://doi.org/10.1525/AA.1989.91.1.02A00010
Toward femtochemistry with circular polarized pulses,"Samuel  Beaulieu, Antoine  Comby, Romain  Géneaux, Dominique  Descamps, Baptiste  Fabre, A.  Ferré, Gustavo  Garcia, François  Légaré, Yann  Mairesse, Laurent  Nahon, Stéphane  Petit, Bernard  Pons, Thierry  Ruchon, Valérie  Blanchet",Physics,2016,https://doi.org/10.1364/UP.2016.UTU1A.1
Complete resolution of cutaneous larva migrans with topical ivermectin: A case report,"Francesca  Magri, Camilla  Chello, Giulia  Pranteda, Guglielmo  Pranteda",Medicine,2019,https://doi.org/10.1111/dth.12845
Do Compactness and Poly-Centricity Mitigate PM10 Emissions? Evidence from Yangtze River Delta Area,"Jing  Tao, Ying  Wang, Rong  Wang, Chuanmin  Mi",Environmental Science,2019,https://doi.org/10.3390/ijerph16214204
Thermal behavior of tensile-strain InGaAsP-InP lasers with varying ridgewidth,"R.  Huang, J.G.  Simmons, P.E.  Jessop, J.  Evans",Physics,1997,https://doi.org/10.1109/68.593335
Long-term disease control by trabectedin in a patient with dedifferentiated liposarcoma,"Shogo  Matsuda, Kazuhiro  Tanaka, Masanori  Kawano, Tatsuya  Iwasaki, Ichiro  Itonaga, Hiroshi  Tsumura",Medicine,2020,https://doi.org/10.1097/MD.0000000000018689
Surgery for germ cell tumors.,"S  Sagae, R  Kudo",Medicine,2000,https://doi.org/10.1002/1098-2388%28200007%2F08%2919%3A1%3C76%3A%3AAID-SSU12%3E3.0.CO%3B2-B
Gene Transfer in Woody Plants: Perspectives and Limitations,M. R. Ahuja,Biology,1988,https://doi.org/10.1007/978-94-009-2811-4_12
Bulk micromachined electrostatic beam steering micromirror array,"M.R.  Dokmeci, S.  Bakshi, M.  Waelti, A.  Pareek, C.  Fung, C.H.  Mastrangelo",Materials Science,2002,https://doi.org/10.1109/OMEMS.2002.1031421
Are there any benefits from minimizing fasting and optimization of nutrition and fluid management for patients undergoing day surgery?,"Jonas  Nygren, Anders  Thorell, Olle  Ljungqvist",Medicine,2007,https://doi.org/10.1097/ACO.0b013e3282f15493
Co-infection and cross-species transmission of divergent Hepatocystis lineages in a wild African primate community.,"Mary I Thurber, Ria R Ghai, David  Hyeroba, Geoffrey  Weny, Alex  Tumukunde, Colin A Chapman, Roger W Wiseman, Jorge  Dinis, James  Steeil, Ellis C Greiner, Thomas C Friedrich, David H O'Connor, Tony L Goldberg",Biology,2013,https://doi.org/10.1016/j.ijpara.2013.03.002
Novel Agents in the Treatment of Thymic Malignancies,"Claire  Merveilleux du Vignaux, Jean-Michel  Maury, Nicolas  Girard",Medicine,2017,https://doi.org/10.1007/s11864-017-0495-8
"Midwifery care, social and medical risk factors, and birth outcomes in the USA.","M F MacDorman, G K Singh",Medicine,1998,https://doi.org/10.1136/jech.52.5.310
Integrable QFT and Longo–Witten Endomorphisms,"Marcel  Bischoff, Yoh  Tanimoto",Mathematics,2015,https://doi.org/10.1007/s00023-014-0337-1
Electronic contribution to the geometric dynamics of magnetization,"Bangguo  Xiong, Hua  Chen, Xiao  Li, Qian  Niu",Physics,2018,https://doi.org/10.1103/PHYSREVB.98.035123
Moment condition failure in high frequency financial data: evidence from the S&P 500,"Abhay  Abhyankar, Laurence Sidney Copeland, Wing-Keung  Wong",Economics,1995,https://doi.org/10.1080/135048595357258
Radionuclide concentrations in vegetation at the Los Alamos National Laboratory in 1998,"G. J. Gonzales, P. R. Fresquez, M. A. Mullen, L.  Naranjo",Chemistry,2000,https://doi.org/10.2172/753205
Reproducibility and Pseudo-Determinism in Log-Space,"Ofer  Grossman, Yang P. Liu",Mathematics,2018,https://doi.org/10.1137/1.9781611975482.38
Non-cardioembolic risk factors in atrial fibrillation-associated ischemic stroke,"Pil-Sung  Yang, Hui-Nam  Pak, Dong-Hyuk  Park, Joonsang  Yoo, Tae-Hoon  Kim, Jae-Sun  Uhm, Young Dae Kim, Hyo Suk Nam, Boyoung  Joung, Moon-Hyoung  Lee, Ji Hoe Heo",Medicine,2018,https://doi.org/10.1371/journal.pone.0201062
Glutamatergic Neurotransmission between the C1 Neurons and the Parasympathetic Preganglionic Neurons of the Dorsal Motor Nucleus of the Vagus,"Seth D. Depuy, Ruth L. Stornetta, Genrieta  Bochorishvili, Karl  Deisseroth, Ilana B. Witten, Melissa B. Coates, Patrice G. Guyenet",Biology,2013,https://doi.org/10.1523/JNEUROSCI.4269-12.2013
Synthesis and study of triboengineering characteristics of a new nanosize ceramic nickel phosphoromolybdate additive to greases,"V. I. Kolesnikov, S. F. Ermakov, F.  Daniel, M. A. Savenkova, N. A. Myasnikova, E. I. Luneva",Materials Science,2010,https://doi.org/10.3103/S1068366610060048
Enhancing Active Learning Computed Tomography Image Segmentation with Domain Knowledge,"Borja  Ayerdi, Josu  Maiora, Manuel  Graña",Computer Science,2013,https://doi.org/10.1007/978-3-642-40846-5_49
Authority of the Rorschach: Legal citations during the past 50 years.,"J. Reid Meloy, Trayce L. Hansen, Irving B. Weiner",Psychology,1997,https://doi.org/10.1207/S15327752JPA6901_3
"Macrostomia, ectropion, atrophic skin, hypertrichosis: another observation.","A  David, A  Gordeeff, J  Badoual, J  Delaire",Biology,1991,https://doi.org/10.1002/AJMG.1320390124
Effect of Ce(III) on Heat Production of Mitochondria Isolated from Hybrid Rice,"Jie  Dai, Jing-Jing  Liu, Gui-Qing  Zhou, Ye-Zhong  Zhang, Yi  Liu",Biology,2010,https://doi.org/10.1007/s12011-010-8902-z
Designing for Social Navigation of Food Recipes,"Kristina  Höök, Jarmo  Laaksolahti, Martin  Svensson, Annika  Wærn",Computer Science,2000,https://doi.org/10.1007/3-540-44595-1_41
Association of TAG-1 with Caspr2 is essential for the molecular organization of juxtaparanodal regions of myelinated fibers,"Maria  Traka, Laurence  Goutebroze, Natalia  Denisenko, Maria  Bessa, Artemisia  Nifli, Sophia  Havaki, Yoichiro  Iwakura, Fumihiko  Fukamauchi, Kazutada  Watanabe, Betty  Soliven, Jean-Antoine  Girault, Domna  Karagogeos",Biology,2003,https://doi.org/10.1083/jcb.200305078
Institutional Review Board Training for Community Practices: Advice from the Agency for Health Care Research and Quality Practice-Based Research Network Listserv,"Rowena J Dolor, Peter C Smith, Anne Victoria Neale",Medicine,2008,https://doi.org/10.3122/jabfm.2008.04.080088
An Optimization Method for Maximizing the Low Frequency Sound Insulation of Plate Structures,Dayi  Ou,Computer Science,2018,https://doi.org/10.1155/2018%2F7849327
Sustainable Harvesting Policies Under Long-Run Average Criteria: Near Optimality,"Dang H. Nguyen, George  Yin",Mathematics,2020,https://doi.org/10.1007/S00245-018-9504-Y
Shakespeare's Last Plays: Essays in Literature and Politics,"Stephen W. Smith, Travis  Curtright",Art,2004,https://doi.org/10.2307/20476887
Dynamic deployment of access and usage control policies using aspects,"Samiha  Ayed, Muhammad Sabir Idrees, Nora  Cuppens-Boulahia, Frédéric  Cuppens",Engineering,2015,https://doi.org/10.1109/NOTERE.2015.7293500
Microphthalmia Gene Product as a Signal Transducer in cAMP-Induced Differentiation of Melanocytes,"Corine  Bertolotto, Patricia  Abbe, Timothy J. Hemesath, Karine  Bille, David E. Fisher, Jean-Paul  Ortonne, Robert  Ballotti",Medicine,1998,https://doi.org/10.1083/JCB.142.3.827
Theoretical analysis of vibration energy harvesters with nonlinear damping and nonlinear stiffness,"Dongmei  Huang, Ruihong  Li, Shengxi  Zhou, Grzegorz  Litak",Physics,2018,https://doi.org/10.1140/EPJP%2FI2018-12298-0
Aldosterone and Myocardial Infarction—Are Aldosterone Antagonists Needed to Prevent Remodelling or Does Ace Inhibition Suffice?,Willem J. Remme,Medicine,2004,https://doi.org/10.1023/A%3A1012746312309
Decay Characteristics of Electromagnet,"K.  Hotta, H.  Hirose, O.  Ishii",Physics,1987,https://doi.org/10.1109/TJMJ.1987.4549697
Performance Metrics for Commercial Buildings,"Kimberly M. Fowler, Na  Wang, Rachel L. Romero, Michael P. Deru",Engineering,2010,https://doi.org/10.2172/1033465
An Empirical Examination of the Association between Individual Differences Variables and Writing Performance of Iranian EFL Learners,"Omid  Mallahi, Seyyed Mohammad Reza Amirian, Gholamreza  Zareian, Seyyed Mohammad Reza Adel",Psychology,2017,https://doi.org/10.22099/JTLS.2017.3957
"Phonons at martensitic phase transitions of bcc-Ti, bcc-Zr and bcc-Hf",W.  Petry,Chemistry,1991,https://doi.org/10.1080/01411599108206923
Discovery of 172-s Pulsations from a Be/X-Ray Binary Candidate AX J0051.6-7311 in the SMC with ASCA,"Jun  Yokogawa, Ken'ichi  Torii, Kensuke  Imanishi, Katsuji Koyama Kyoto University, National Space Development Agency of Japan",Physics,2000,https://doi.org/10.1093/pasj%2F52.5.L37
Analysis of pressure oscillations in a Francis hydraulic turbine with misaligned guide vanes,"Z D Qian, B  Zheng, Wenxin  Huai, Y H Lee",Engineering,2010,https://doi.org/10.1243/09576509JPE736
Transfusion medicine in trauma patients,"Sarah B Murthi, Richard P Dutton, Bennett B Edelman, Thomas M Scalea, John R Hess",Medicine,2008,https://doi.org/10.1586/17474086.1.1.99
Salbutamol therapy in congenital myasthenic syndrome due to DOK7 mutation,"Paulo J. Lorenzoni, Rosana H. Scola, Cláudia S. K. Kay, Luciane  Filla, Lineu C. Werneck",Medicine,2013,https://doi.org/10.1016/j.jns.2013.05.017
The nature of food: indigenous Dene foodways and ontologies in the era of climate change,David S. Walsh,Geography,2015,https://doi.org/10.30674/SCRIPTA.67455
Surgery-Induced Hippocampal Angiotensin II Elevation Causes Blood-Brain Barrier Disruption via MMP/TIMP in Aged Rats,"Zhengqian  Li, Na  Mo, Lunxu  Li, Yiyun  Cao, Wenming  Wang, Yaoxian  Liang, Hui  Deng, Rui  Xing, Lin  Yang, Cheng  Ni, Dehua  Chui, Xiangyang  Guo",Biology,2016,https://doi.org/10.3389/fncel.2016.00105
Adaptive Compressed Classification for Energy Efficient Activity Recognition in Wireless Body Sensor Networks,"Ling  Xiao, Yu  Meng, Kai  Wu",Computer Science,2018,https://doi.org/10.1109/BIGCOM.2018.00013
Cryo-SEM Methodology of Arabidopsis thaliana Stem Using High-Pressure Freezing,"Yun Joung Choi, Kyung Hwan Lee, A  Reum, Heesu  Chae, Jihoon  Jang, Eunji  Lee, Hee-Seok  Kweon",Materials Science,2012,https://doi.org/10.9729/AM.2012.42.2.111
Current state of minimally invasive treatment of locally advanced non-small cell lung cancer,"Daniel P. Dolan, Aaron R. Dezube, Scott J. Swanson",Medicine,2020,https://doi.org/10.20517/2574-1225.2020.17
From Stage to Live Broadcasts and Streaming: O'Neill's Theatre Guild Model in the Digital Age,Dan  McGovern,Art,2019,https://doi.org/10.5325/eugeoneirevi.40.1.2019.0087
"Karyological and allozyme survey of the Common shrew, Sorex araneus, from Macedonia","Miloš  Macholán, Maria G. Filippucci, Jan  Zima, Boris  Kryštufek, Shimon  Simson",Biology,2009,https://doi.org/10.1111/J.1439-0469.1994.TB00477.X
Evolution of Reactive Concentration during Borohydride-Reduced Electroless Nickel–Boron Plating and Design of a Replenishment Procedure,"Véronique  Vitry, A.-F.  Kanta, Fabienne  Delaunois",Chemistry,2012,https://doi.org/10.1021/IE202687Y
"Chemistry of C−2 and HC−2 with nitrogen, oxygen and nitrogen oxides","Jane M. Van Doren, Robert A. Morris, A. A. Viggiano, Amy E. Stevens Miller, Thomas M. Miller, John F. Paulson",Chemistry,1992,https://doi.org/10.1016/0168-1176%2892%2980105-A
An Intelligent Failure Detection on a Wireless Sensor Network for Indoor Climate Conditions,"Sebastián  Gutiérrez, Hiram  Ponce",Computer Science,2019,https://doi.org/10.3390/s19040854
Cracking Tendency of Bridge Deck Concrete,"Benjamin E. Byard, Anton K. Schindler, Robert W Barnes, Akash  Rao",Materials Science,2010,https://doi.org/10.3141/2164-16
Parthenolide and other volatiles in the flowerheads of Tanacetum parthenium (L.) Schultz Bip.,"Derek V. Banthorpe, G. D. Brown, J. F. Janes, I. M. Marr",Chemistry,1990,https://doi.org/10.1002/FFJ.2730050310
"Lysosomal cathepsin initiates apoptosis, which is regulated by photodamage to Bcl-2 at mitochondria in photodynamic therapy using a novel photosensitizer, ATX-s10 (Na).","Shuji  Ichinose, Jitsuo  Usuda, Takeshi  Hirata, Tatsuya  Inoue, Keishi  Ohtani, Sachio  Maehara, Mitsuhiro  Kubota, Kentarou  Imai, Yoshihiko  Tsunoda, Yukari  Kuroiwa, Kimito  Yamada, Hidemitsu  Tsutsui, Kinya  Furukawa, Tetsuya  Okunaka, Nancy L Oleinick, Harubumi  Kato",Biology,2006,https://doi.org/10.3892/IJO.29.2.349
Mitochondrial myopathy involving ubiquinol-cytochrome c oxidoreductase (complex III) identified by immunoelectron microscopy.,"S J Kim, K O Lee, S  Takamiya, R A Capaldi",Biology,1987,https://doi.org/10.1016/0005-2728%2887%2990196-4
Vascular Tone and Its Regulation by the Autonomic Nervous System in Healthy Adolescents and Those with Neurocirculatory Dystonia,I. G. Andreeva,Medicine,2004,https://doi.org/10.1023/A%3A1023406505974
Repeat expansion in C9ORF72 in Alzheimer's disease.,"Elisa  Majounie, Yevgeniya  Abramzon, Alan E Renton, Rodney  Perry, Susan S Bassett, Olga  Pletnikova, Juan C Troncoso, John  Hardy, Andrew B Singleton, Bryan J Traynor",Medicine,2012,https://doi.org/10.1056/NEJMc1113592
Scouting out the neighborhood in AIDS-related lymphoma.,"Kieron  Dunleavy, Catherine M Bollard",Medicine,2013,https://doi.org/10.1182/blood-2013-06-502591
Thermal conductivity measurements via time-domain thermoreflectance for the characterization of radiation induced damage,"Ramez  Cheaito, Caroline S. Gorham, Amit  Misra, Khalid  Hattar, Patrick E. Hopkins",Materials Science,2015,https://doi.org/10.1557/JMR.2015.11
